name,vdom,status,type,snmp-index,alias,description,mtu-override,mtu,ip,allowaccess,dedicated-to,trust-ip-1,trust-ip-2,trust-ip-3,mode,interface,vlanid,role
I_NM.3135,CT901NM,,,103,,,,,10.90.1.65 255.255.255.248,ping,,,,,,port21,3135,
E_DR_IIS.267,CT901CASH1,down,,104,,,,,192.168.144.250 255.255.255.0,ping,,,,,,port39,267,lan
E_NMC.3219,CT901NM,,,105,,,,,10.90.2.89 255.255.255.248,ping,,,,,,port39,3219,lan
E_MDF.TB.270,CT901CASH1,,,106,,,,,10.1.42.65 255.255.255.240,ping,,,,,,port39,270,lan
Dev.MidSky.1965,CT901CASH1,,,107,,,,,10.18.95.38 255.255.255.248,ping,,,,,,port39,1965,lan
E_OMDD4.1443,CT901CASH1,,,108,,,,,10.0.58.1 255.255.255.240,ping,,,,,,port39,1443,lan
E_OMDD4.PB.1442,CP901CASH1,,,110,,,,,10.0.57.1 255.255.255.240,ping,,,,,,port39,1442,lan
I_CASH.DR.3171,CP901CASH1,,,111,,,,,10.91.3.57 255.255.255.248,ping,,,,,,port33,3171,lan
I_WATEZMC1.3117,CT901SZMC1,,,114,,,,,10.90.3.137 255.255.255.248,ping,,,,,,port33,3117,lan
I.DEV.EMFTP3137,CT901CASH1,,,116,,,,,10.90.1.81 255.255.255.248,ping,,,,,,port33,3137,lan
I.DEV.EMFTC.182,CT901CASH1,,,117,,,,,10.163.212.254 255.255.255.0,ping,,,,,,port33,182,lan
I.DEV.EMFTP3138,CT901HSN,,,118,,,,,10.90.1.89 255.255.255.248,ping,,,,,,port33,3138,lan
WAN_OMDC.DR.211,CP901CASH1,,,112,,,,,10.19.234.1 255.255.255.240,ping,,,,,,port39,211,lan
WAN_OMDC.DR.213,CP901CASH1,,,113,,,,,10.19.235.1 255.255.255.240,ping,,,,,,port39,213,lan
WAN_OMDC.DR.215,CP901CASH1,,,119,,,,,10.19.236.1 255.255.255.240,ping,,,,,,port39,215,lan
I_BCAN.3119,CT901CASH1,,,120,,,,,10.90.3.169 255.255.255.248,ping,,,,,,port33,3119,lan
E_TOF.3218,CT901CASH1,,,121,,,,,10.90.2.81 255.255.255.248,ping,,,,,,port39,3218,lan
I_C.SP901.3172,CT901HSN,,,122,,,,,10.91.3.49 255.255.255.248,ping,,,,,,port33,3172,lan
E_EMFTP.HSN3221,CT901HSN,,,125,,,,,10.90.2.97 255.255.255.248,ping,,,,,,port38,3221,lan
E_EMFTP.3223,CT901CASH1,,,126,,,,,10.90.2.113 255.255.255.248,ping,,,,,,port39,3223,lan
E_EMFTA.3224,CT901CASH1,,,127,,,,,10.90.2.121 255.255.255.248,ping,,,,,,port39,3224,lan
E_WATERCT.3225,CT901CASH1,,,128,,,,,10.90.2.129 255.255.255.248,ping,,,,,,port39,3225,lan
WAN_OCG.694,CT901CASH1,,,129,,,,,10.0.128.17 255.255.255.240,ping,,,,,,port39,694,lan
WAN_OMDC.695,CT901CASH1,,,130,,,,,10.0.128.33 255.255.255.240,ping,,,,,,port39,695,lan
Dev.MidSky.1973,CP901CASH1,,,131,,,,,10.18.95.102 255.255.255.248,ping,,,,,,port39,1973,lan
E_UCN.3203,CT901OTPC,,,123,,,,,10.90.1.153 255.255.255.248,ping,,,,,,port39,3203,lan
E_SMARTS.DR3271,CP901CASH1,,,124,,,,,10.91.2.25 255.255.255.248,ping,,,,,,port39,3271,lan
I.HSN.NM.3120,CT901NM,,,132,,,,,10.90.3.177 255.255.255.248,ping,,,,,,port33,3120,lan
E_SZMC1.1630,CT901SZMC1,,,115,,,,,10.1.135.34 255.255.255.240,ping,,,,,,port39,1630,lan
I_CCCG.3124,CT901CASH1,,,134,,,,,10.90.3.209 255.255.255.248,ping,,,,,,port33,3124,lan
I_CCCG.3126,CT901OTPC,,,135,,,,,10.90.3.225 255.255.255.248,ping,,,,,,port33,3126,lan
I_CSC.3116,CT901OTPC,,,136,,,,,10.90.3.129 255.255.255.248,ping,,,,,,port33,3116,lan
Interface1,CT901TEST1,,,137,Interface1,,,,10.0.1.1 255.255.255.0,ping,,,,,,port1,100,lan
Interface2,CT901TEST1,,,138,Interface2,,,,10.1.1.1 255.255.255.0,ping,,,,,,port1,200,lan
I_CSCDMZ.3128,CT901OTPC,,,133,,,,,10.90.3.241 255.255.255.248,ping,,,,,,port33,3128,lan
I_CSCDMZ.3127,CT901CASH1,,,139,,,,,10.90.3.233 255.255.255.248,ping,,,,,,port33,3127,lan
WAN_CCCG.1670,CT901CASH1,,,140,,,,,10.229.17.1 255.255.255.240,ping,,,,,,port39,1670,lan
WAN_CCCG.1674,CT901CASH1,,,141,,,,,10.229.17.65 255.255.255.240,ping,,,,,,port39,1674,lan
WAN_CCCG.1678,CT901CASH1,,,142,,,,,10.229.17.129 255.255.255.240,ping,,,,,,port39,1678,lan
E_WATERCC.3227,CT901CASH1,,,143,,,,,10.90.4.81 255.255.255.248,ping,,,,,,port39,3227,lan
E_HK2SH.1262,CT901CASH1,,,144,,,,,10.0.50.65 255.255.255.240,ping,,,,,,port39,1262,lan
I_DEV_CASH.3125,CT901OTPC,,,145,,,,,10.90.3.217 255.255.255.248,ping,,,,,,port33,3125,lan
I_CCCG.3123,CT901HSN,,,146,,,,,10.90.3.201 255.255.255.248,ping,,,,,,port33,3123,lan
I_CCI.3161,CT901CASH1,,,147,,,,,10.90.4.9 255.255.255.248,ping,,,,,,port33,3161,lan
I_CCI.3162,CT901OTPC,,,148,,,,,10.90.4.17 255.255.255.248,ping,,,,,,port33,3162,lan
I_IIS.3164,CT901OTPC,,,149,,,,,10.90.4.33 255.255.255.248,ping,,,,,,port33,3164,lan
E_UCN.3251,CP901CASH1,,,150,,,,,10.91.1.137 255.255.255.248,ping,,,,,,port39,3251,lan
E_NMC.3252,CP901CASH1,,,151,,,,,10.91.1.145 255.255.255.248,ping,,,,,,port39,3252,lan
I_CASH.3130,CT901OTPC,,,153,,,,,10.90.4.1 255.255.255.248,ping,,,,,,port33,3130,lan
I_CASH.3112,CT901OTPC,,,152,,,,,10.91.3.65 255.255.255.248,ping,,,,,,port33,3112,lan
